n = 15;
m = 3;

G =
  [
    [ 0.00 0.72 0.00 0.00 0.00 0.00 0.57 0.28 0.37 0.00 0.80 0.60 0.65 0.00 0.48 ]
    [ 0.72 0.00 0.00 0.69 0.47 0.00 0.00 0.00 0.00 0.84 0.67 0.95 0.00 0.44 0.00 ]
    [ 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.61 0.92 0.32 0.00 ]
    [ 0.00 0.69 0.00 0.00 0.00 0.00 0.76 0.00 0.00 0.00 0.00 0.62 0.90 0.66 0.89 ]
    [ 0.00 0.47 0.00 0.00 0.00 0.38 0.00 0.00 0.97 0.00 0.00 0.00 0.73 0.00 0.00 ]
    [ 0.00 0.00 0.00 0.00 0.38 0.00 0.00 0.00 0.26 0.00 0.00 0.82 0.00 0.00 0.00 ]
    [ 0.57 0.00 0.01 0.76 0.00 0.00 0.00 0.87 0.00 0.00 0.30 0.19 0.03 0.32 0.43 ]
    [ 0.28 0.00 0.00 0.00 0.00 0.00 0.87 0.00 0.00 0.00 0.00 0.00 0.30 0.70 0.68 ]
    [ 0.37 0.00 0.00 0.00 0.97 0.26 0.00 0.00 0.00 0.32 0.00 0.00 0.00 0.00 0.96 ]
    [ 0.00 0.84 0.00 0.00 0.00 0.00 0.00 0.00 0.32 0.00 0.00 0.33 0.00 0.00 0.05 ]
    [ 0.80 0.67 0.00 0.00 0.00 0.00 0.30 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.65 ]
    [ 0.60 0.95 0.61 0.62 0.00 0.82 0.19 0.00 0.00 0.33 0.00 0.00 0.00 0.40 0.49 ]
    [ 0.65 0.00 0.92 0.90 0.73 0.00 0.03 0.30 0.00 0.00 0.00 0.00 0.00 0.57 0.73 ]
    [ 0.00 0.44 0.32 0.66 0.00 0.00 0.32 0.70 0.00 0.00 0.00 0.40 0.57 0.00 0.00 ]
    [ 0.48 0.00 0.00 0.89 0.00 0.00 0.43 0.68 0.96 0.05 0.65 0.49 0.73 0.00 0.00 ]
  ];

H =
  [
    [ 0.00 0.64 0.07 ]
    [ 0.64 0.00 0.00 ]
    [ 0.07 0.00 0.00 ]
  ];
