n = 12;
m = 4;

G =
  [
    [ 0.00 0.15 0.93 0.04 0.60 0.00 0.57 0.00 0.00 0.00 0.00 0.77 ]
    [ 0.15 0.00 0.91 0.53 0.90 0.00 0.95 0.53 0.26 0.14 0.70 0.83 ]
    [ 0.93 0.91 0.00 0.98 0.00 0.00 0.19 0.92 0.00 0.00 0.65 0.25 ]
    [ 0.04 0.53 0.98 0.00 0.00 0.00 0.00 0.00 0.48 0.00 0.00 0.00 ]
    [ 0.60 0.90 0.00 0.00 0.00 0.76 0.00 0.00 0.00 0.37 0.00 0.00 ]
    [ 0.00 0.00 0.00 0.00 0.76 0.00 0.00 0.14 0.00 0.00 0.99 0.01 ]
    [ 0.57 0.95 0.19 0.00 0.00 0.00 0.00 0.00 0.74 0.61 0.00 0.00 ]
    [ 0.00 0.53 0.92 0.00 0.00 0.14 0.00 0.00 0.00 0.87 0.68 0.00 ]
    [ 0.00 0.26 0.00 0.48 0.00 0.00 0.74 0.00 0.00 0.48 0.00 0.53 ]
    [ 0.00 0.14 0.00 0.00 0.37 0.00 0.61 0.87 0.48 0.00 0.00 0.47 ]
    [ 0.00 0.70 0.65 0.00 0.00 0.99 0.00 0.68 0.00 0.00 0.00 0.73 ]
    [ 0.77 0.83 0.25 0.00 0.00 0.01 0.00 0.00 0.53 0.47 0.73 0.00 ]
  ];

H =
  [
    [ 0.00 0.00 0.22 0.56 ]
    [ 0.00 0.00 0.17 0.95 ]
    [ 0.22 0.17 0.00 0.26 ]
    [ 0.56 0.95 0.26 0.00 ]
  ];

  // su solucion: (0.26-0.22) + (0.56-0.48) + (0.53-0.17) + (0.95-0.87) + (0.26-0.14) = 0.68
  // mi solucion: (0.48-0.22) + (0.56-0.53) + (0.17-0.14) + (0.95-0.83) + (0.47-0.26) = 0.65
