n = 20;
m = 5;

G =
  [
    [ 0.00 0.70 0.03 0.59 0.00 0.00 0.23 0.00 0.30 0.00 0.89 0.00 0.00 0.03 0.00 0.45 0.36 0.72 0.00 0.90 ]
    [ 0.70 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.42 0.00 0.39 0.00 0.84 0.80 0.01 0.55 0.48 0.16 ]
    [ 0.03 0.00 0.00 0.31 0.38 0.31 0.00 0.00 0.90 0.00 0.44 0.00 0.62 0.00 0.00 0.00 0.00 0.71 0.18 0.89 ]
    [ 0.59 0.00 0.31 0.00 0.31 0.00 0.00 0.92 0.00 0.33 0.00 0.00 0.00 0.31 0.00 0.09 0.55 0.00 0.32 0.03 ]
    [ 0.00 0.00 0.38 0.31 0.00 0.00 0.60 0.00 0.00 0.01 0.00 0.76 0.98 0.37 0.00 0.67 0.00 0.00 0.00 0.55 ]
    [ 0.00 0.00 0.31 0.00 0.00 0.00 0.56 0.00 0.09 0.33 0.95 0.20 0.00 0.00 0.00 0.00 0.49 0.10 0.00 0.16 ]
    [ 0.23 0.00 0.00 0.00 0.60 0.56 0.00 0.00 0.41 0.07 0.26 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.18 0.00 ]
    [ 0.00 0.00 0.00 0.92 0.00 0.00 0.00 0.00 0.00 0.29 0.00 0.89 0.41 0.00 0.00 0.16 0.00 0.95 0.95 0.00 ]
    [ 0.30 0.00 0.90 0.00 0.00 0.09 0.41 0.00 0.00 0.00 0.26 0.96 0.00 0.00 0.00 0.00 0.09 0.00 0.40 0.00 ]
    [ 0.00 0.00 0.00 0.33 0.01 0.33 0.07 0.29 0.00 0.00 0.30 0.00 0.37 0.00 0.00 0.00 0.00 0.47 0.00 0.68 ]
    [ 0.89 0.42 0.44 0.00 0.00 0.95 0.26 0.00 0.26 0.30 0.00 0.25 0.41 0.02 0.00 0.00 0.00 0.00 0.37 0.54 ]
    [ 0.00 0.00 0.00 0.00 0.76 0.20 0.00 0.89 0.96 0.00 0.25 0.00 0.00 0.68 0.39 0.00 0.54 0.00 0.00 0.34 ]
    [ 0.00 0.39 0.62 0.00 0.98 0.00 0.00 0.41 0.00 0.37 0.41 0.00 0.00 0.53 0.00 0.77 0.76 0.00 0.20 0.91 ]
    [ 0.03 0.00 0.00 0.31 0.37 0.00 0.00 0.00 0.00 0.00 0.02 0.68 0.53 0.00 0.00 0.00 0.64 0.00 0.06 0.00 ]
    [ 0.00 0.84 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.39 0.00 0.00 0.00 0.49 0.00 0.00 0.41 0.35 ]
    [ 0.45 0.80 0.00 0.09 0.67 0.00 0.00 0.16 0.00 0.00 0.00 0.00 0.77 0.00 0.49 0.00 0.62 0.00 0.71 0.00 ]
    [ 0.36 0.01 0.00 0.55 0.00 0.49 0.00 0.00 0.09 0.00 0.00 0.54 0.76 0.64 0.00 0.62 0.00 0.00 0.54 0.08 ]
    [ 0.72 0.55 0.71 0.00 0.00 0.10 0.00 0.95 0.00 0.47 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 ]
    [ 0.00 0.48 0.18 0.32 0.00 0.00 0.18 0.95 0.40 0.00 0.37 0.00 0.20 0.06 0.41 0.71 0.54 0.00 0.00 0.49 ]
    [ 0.90 0.16 0.89 0.03 0.55 0.16 0.00 0.00 0.00 0.68 0.54 0.34 0.91 0.00 0.35 0.00 0.08 0.00 0.49 0.00 ]
  ];

H =
  [
    [ 0.00 0.00 0.48 0.02 0.15 ]
    [ 0.00 0.00 0.33 0.00 0.09 ]
    [ 0.48 0.33 0.00 0.00 0.00 ]
    [ 0.02 0.00 0.00 0.00 0.00 ]
    [ 0.15 0.09 0.00 0.00 0.00 ]
  ];
