n = 12;
m = 4;

G =
  [
    [ 0.00 0.00 0.33 0.00 0.40 0.03 0.00 0.00 0.00 0.75 0.13 0.00 ]
    [ 0.00 0.00 0.00 0.00 0.35 0.00 0.00 0.00 0.00 0.31 0.84 0.00 ]
    [ 0.33 0.00 0.00 0.95 0.00 0.83 0.00 0.00 0.11 0.00 0.00 0.34 ]
    [ 0.00 0.00 0.95 0.00 0.00 0.00 0.94 0.21 0.47 0.00 0.00 0.00 ]
    [ 0.40 0.35 0.00 0.00 0.00 0.00 0.00 0.59 0.00 0.32 0.25 0.00 ]
    [ 0.03 0.00 0.83 0.00 0.00 0.00 0.59 0.00 0.11 0.00 0.86 0.25 ]
    [ 0.00 0.00 0.00 0.94 0.00 0.59 0.00 0.00 0.00 0.00 0.86 0.75 ]
    [ 0.00 0.00 0.00 0.21 0.59 0.00 0.00 0.00 0.00 0.00 0.00 0.60 ]
    [ 0.00 0.00 0.11 0.47 0.00 0.11 0.00 0.00 0.00 0.00 0.00 0.00 ]
    [ 0.75 0.31 0.00 0.00 0.32 0.00 0.00 0.00 0.00 0.00 0.76 0.00 ]
    [ 0.13 0.84 0.00 0.00 0.25 0.86 0.86 0.00 0.00 0.76 0.00 0.00 ]
    [ 0.00 0.00 0.34 0.00 0.00 0.25 0.75 0.60 0.00 0.00 0.00 0.00 ]
  ];

H =
  [
    [ 0.00 0.21 0.60 0.00 ]
    [ 0.21 0.00 0.63 0.40 ]
    [ 0.60 0.63 0.00 0.68 ]
    [ 0.00 0.40 0.68 0.00 ]
  ];
